AA,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
MET,6,0.05,55.0,-169.7,-66.6,0.0,9.99,11.92,6.57,0.0
MET,3,0.025,-178.3,64.3,70.6,0.0,7.39,8.96,4.37,0.0
MET,2,0.0167,-171.4,68.2,-172.8,0.0,3.4,7.25,1.39,0.0
MET,6,0.05,-168.0,174.7,78.8,0.0,12.8,10.6,13.96,0.0
MET,1,0.0083,178.0,-163.4,-177.6,0.0,0.0,0.0,0.0,0.0
MET,11,0.0917,-174.8,177.3,-71.9,0.0,8.7,8.44,11.88,0.0
MET,1,0.0083,-130.2,-57.9,112.4,0.0,0.0,0.0,0.0,0.0
MET,1,0.0083,-129.2,-66.8,163.8,0.0,0.0,0.0,0.0,0.0
MET,1,0.0083,-179.2,-88.6,-79.1,0.0,0.0,0.0,0.0,0.0
MET,2,0.0167,-55.5,70.0,148.5,0.0,3.81,8.06,12.1,0.0
MET,1,0.0083,-75.4,102.2,-89.8,0.0,0.0,0.0,0.0,0.0
MET,25,0.2083,-69.5,178.7,71.1,0.0,7.11,7.32,11.49,0.0
MET,10,0.0833,-68.6,-176.9,-174.5,0.0,7.7,6.39,8.35,0.0
MET,13,0.1083,-66.7,-170.5,-69.2,0.0,7.21,12.81,13.1,0.0
MET,9,0.075,-63.4,-69.2,95.8,0.0,6.9,17.14,10.2,0.0
MET,6,0.05,-56.6,-59.9,176.5,0.0,10.69,6.4,16.5,0.0
MET,17,0.1417,-65.2,-62.2,-75.5,0.0,8.99,11.77,5.69,0.0
ASN,38,0.0979,65.6,59.5,0.0,0.0,10.87,17.81,0.0,0.0
ASN,4,0.0103,64.1,-179.0,0.0,0.0,12.99,28.89,0.0,0.0
ASN,20,0.0515,61.8,-38.5,0.0,0.0,7.61,17.42,0.0,0.0
ASN,71,0.183,-170.1,37.6,0.0,0.0,10.91,16.57,0.0,0.0
ASN,11,0.0284,-156.0,-162.3,0.0,0.0,9.75,20.67,0.0,0.0
ASN,48,0.1237,-170.6,-40.7,0.0,0.0,8.76,21.95,0.0,0.0
ASN,41,0.1057,-70.1,38.1,0.0,0.0,10.78,33.44,0.0,0.0
ASN,20,0.0515,-71.3,160.9,0.0,0.0,9.74,16.83,0.0,0.0
