AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
LYS,3,0.0044,-171.1,-79.6,-86.7,-61.2,28.33,14.31,13.72,5.95
LYS,2,0.0029,-81.0,98.8,71.5,64.0,6.62,16.69,13.63,1.75
LYS,5,0.0074,-87.1,61.7,66.0,179.4,7.09,23.76,11.95,17.43
LYS,1,0.0015,-88.8,107.5,111.9,-47.2,0.0,0.0,0.0,0.0
LYS,6,0.0088,-75.3,60.5,-174.5,63.9,22.85,15.46,5.67,12.54
LYS,15,0.0221,-87.1,77.4,179.5,177.5,12.59,15.87,12.08,13.43
LYS,3,0.0044,-65.4,73.9,-177.7,-64.5,19.55,9.11,5.74,17.4
LYS,3,0.0044,-70.9,70.1,-98.5,166.8,15.06,21.26,6.08,14.78
LYS,8,0.0118,-68.6,177.5,78.5,70.8,8.62,8.54,12.01,6.23
LYS,27,0.0397,-67.7,176.1,69.2,177.8,10.74,12.49,9.96,12.03
LYS,2,0.0029,-51.3,166.1,77.4,-79.8,3.98,10.34,9.17,11.81
LYS,32,0.0471,-66.8,-176.9,173.9,66.3,7.87,9.17,11.94,10.22
LYS,116,0.1706,-68.3,-179.7,-178.5,-179.7,7.73,8.87,9.08,7.0
LYS,28,0.0412,-62.5,-175.2,177.9,-62.6,5.89,7.34,9.38,8.07
LYS,3,0.0044,-73.3,-176.5,-69.0,80.1,11.92,17.18,20.82,18.67
LYS,15,0.0221,-69.6,-171.6,-72.0,-176.8,8.09,8.35,8.66,5.3
LYS,11,0.0162,-64.5,-170.3,-77.4,-66.9,8.29,13.66,4.98,16.7
LYS,3,0.0044,-57.1,-81.1,83.6,68.5,7.14,16.51,10.57,6.94
LYS,3,0.0044,-48.9,-89.0,69.1,-174.9,10.27,13.71,7.5,8.38
LYS,1,0.0015,-80.2,-88.1,104.0,-113.5,0.0,0.0,0.0,0.0
LYS,13,0.0191,-64.6,-76.9,-173.9,62.7,7.09,13.17,9.74,9.5
LYS,41,0.0603,-63.2,-65.0,-179.9,179.6,9.14,9.83,7.84,9.82
LYS,21,0.0309,-63.8,-65.2,-176.9,-66.4,6.6,9.48,11.44,10.08
LYS,7,0.0103,-56.1,-62.3,-68.1,-178.9,5.89,15.15,9.04,11.44
LYS,1,0.0015,-62.3,-85.9,-67.2,-70.7,0.0,0.0,0.0,0.0
GLN,2,0.0068,76.5,89.2,56.1,0.0,8.41,2.69,5.15,0.0
GLN,1,0.0034,67.6,107.8,151.0,0.0,0.0,0.0,0.0,0.0
GLN,8,0.0274,60.0,-172.9,62.5,0.0,9.68,11.45,16.03,0.0
GLN,3,0.0103,60.5,169.5,-173.9,0.0,5.0,4.86,18.15,0.0
GLN,8,0.0274,65.5,172.2,-36.0,0.0,4.85,7.84,13.46,0.0
GLN,1,0.0034,58.5,-102.3,60.5,0.0,0.0,0.0,0.0,0.0
GLN,1,0.0034,65.2,-77.9,123.3,0.0,0.0,0.0,0.0,0.0
GLN,3,0.0103,64.9,-77.9,-24.0,0.0,0.5,5.19,18.89,0.0
GLN,21,0.0719,-175.5,62.7,41.2,0.0,7.22,8.37,15.92,0.0
GLN,2,0.0068,179.2,60.2,-126.6,0.0,4.74,1.51,2.24,0.0
GLN,8,0.0274,173.9,76.5,-19.7,0.0,15.11,9.71,12.97,0.0
GLN,28,0.0959,-174.7,178.6,54.9,0.0,9.67,11.7,27.99,0.0
GLN,13,0.0445,178.7,-174.5,-178.4,0.0,6.47,7.19,15.87,0.0
GLN,23,0.0788,-170.5,-177.0,-50.0,0.0,10.49,11.95,24.9,0.0
GLN,1,0.0034,174.0,-81.5,113.2,0.0,0.0,0.0,0.0,0.0
GLN,5,0.0171,-169.8,-89.4,-35.4,0.0,8.12,12.93,14.3,0.0
GLN,4,0.0137,-70.7,70.9,61.1,0.0,8.88,8.48,10.46,0.0
GLN,1,0.0034,-64.6,90.2,-173.7,0.0,0.0,0.0,0.0,0.0
GLN,7,0.024,-66.1,86.7,-58.8,0.0,20.68,9.02,21.79,0.0
GLN,54,0.1849,-68.4,-178.2,43.5,0.0,7.53,9.94,21.8,0.0
GLN,10,0.0342,-68.1,173.9,173.7,0.0,6.65,7.69,18.23,0.0
GLN,29,0.0993,-66.1,-178.9,-50.7,0.0,9.41,9.62,22.44,0.0
GLN,17,0.0582,-68.0,-71.1,99.8,0.0,7.71,10.98,18.94,0.0
GLN,6,0.0205,-64.2,-68.4,143.8,0.0,3.46,7.79,21.71,0.0
GLN,36,0.1233,-62.9,-61.2,-41.8,0.0,7.35,9.81,13.29,0.0
GLU,2,0.0059,76.0,94.1,42.5,0.0,21.89,5.52,11.04,0.0
GLU,1,0.0029,71.9,94.0,-11.3,0.0,0.0,0.0,0.0,0.0
GLU,13,0.0381,67.1,176.0,44.5,0.0,4.86,9.86,22.74,0.0
GLU,2,0.0059,61.1,175.3,-173.2,0.0,20.67,4.83,14.71,0.0
GLU,14,0.0411,64.0,178.4,-36.4,0.0,6.12,11.08,25.75,0.0
GLU,8,0.0235,61.5,-85.5,44.0,0.0,11.17,3.88,17.69,0.0
GLU,1,0.0029,61.6,-87.7,-155.1,0.0,0.0,0.0,0.0,0.0
GLU,22,0.0645,-175.1,68.4,37.2,0.0,13.77,10.2,21.11,0.0
GLU,3,0.0088,-145.4,77.3,-129.1,0.0,7.29,0.19,7.02,0.0
GLU,7,0.0205,-172.5,71.1,-36.1,0.0,12.62,11.59,30.47,0.0
GLU,34,0.0997,-177.0,-179.4,35.3,0.0,8.32,12.05,20.49,0.0
GLU,7,0.0205,-176.7,172.2,177.6,0.0,8.76,11.54,24.12,0.0
GLU,35,0.1026,-176.4,178.4,-46.7,0.0,10.2,9.84,19.99,0.0
GLU,2,0.0059,-160.2,-89.6,164.2,0.0,3.91,12.37,17.64,0.0
GLU,3,0.0088,-160.5,-98.6,-42.8,0.0,18.28,7.83,15.6,0.0
GLU,17,0.0499,-75.9,67.7,51.2,0.0,9.23,7.07,12.31,0.0
GLU,4,0.0117,-62.5,85.9,179.1,0.0,1.51,7.02,18.24,0.0
GLU,15,0.044,-63.7,87.1,-31.3,0.0,7.01,5.59,21.89,0.0
GLU,41,0.1202,-72.2,178.7,29.2,0.0,11.14,11.76,19.3,0.0
GLU,8,0.0235,-65.1,179.3,-168.1,0.0,11.08,9.05,15.94,0.0
GLU,47,0.1378,-64.2,179.8,-31.7,0.0,9.89,9.05,18.21,0.0
GLU,12,0.0352,-68.7,-71.4,67.8,0.0,12.06,13.88,29.34,0.0
GLU,5,0.0147,-61.5,-71.6,164.2,0.0,13.51,3.86,19.41,0.0
GLU,38,0.1114,-70.1,-61.3,-48.0,0.0,8.48,8.32,14.95,0.0
MET,2,0.0167,62.9,-160.1,74.1,0.0,9.95,8.7,4.88,0.0
MET,1,0.0083,50.3,-171.0,178.5,0.0,0.0,0.0,0.0,0.0
MET,5,0.0417,57.5,176.2,-70.2,0.0,9.61,17.76,10.31,0.0
MET,1,0.0083,41.0,-60.1,146.0,0.0,0.0,0.0,0.0,0.0
MET,1,0.0083,76.4,-61.5,-81.8,0.0,0.0,0.0,0.0,0.0
MET,4,0.0333,179.2,62.3,67.1,0.0,11.84,7.99,19.37,0.0
MET,2,0.0167,-169.2,60.3,-162.7,0.0,4.31,2.07,8.35,0.0
MET,2,0.0167,-174.8,-169.3,64.1,0.0,1.2,14.87,12.86,0.0
MET,3,0.025,-170.2,177.9,-177.3,0.0,3.92,13.02,12.65,0.0
MET,10,0.0833,179.4,178.2,-76.2,0.0,7.84,6.02,14.47,0.0
MET,1,0.0083,-157.0,-63.0,106.9,0.0,0.0,0.0,0.0,0.0
MET,3,0.025,-69.8,70.6,72.9,0.0,9.03,5.25,4.63,0.0
MET,1,0.0083,-53.5,85.5,137.8,0.0,0.0,0.0,0.0,0.0
MET,25,0.2083,-71.5,-178.7,73.8,0.0,9.02,7.63,7.75,0.0
MET,9,0.075,-67.7,-178.3,-165.6,0.0,11.23,14.33,17.86,0.0
MET,22,0.1833,-72.4,-169.4,-75.6,0.0,10.24,9.56,14.71,0.0
MET,7,0.0583,-68.6,-60.2,100.2,0.0,5.22,3.74,5.62,0.0
MET,4,0.0333,-55.1,-54.0,-174.3,0.0,4.37,13.06,21.59,0.0
MET,17,0.1417,-68.3,-63.4,-67.1,0.0,13.59,7.7,11.41,0.0
ASN,36,0.0928,65.7,48.3,0.0,0.0,9.69,28.08,0.0,0.0
ASN,4,0.0103,66.8,173.8,0.0,0.0,0.63,20.59,0.0,0.0
ASN,18,0.0464,64.0,-28.9,0.0,0.0,7.47,14.08,0.0,0.0
ASN,75,0.1933,-168.1,34.0,0.0,0.0,8.32,16.39,0.0,0.0
ASN,12,0.0309,-177.1,-153.2,0.0,0.0,4.62,19.81,0.0,0.0
ASN,52,0.134,-172.3,-46.6,0.0,0.0,6.64,25.32,0.0,0.0
ASN,37,0.0954,-75.0,73.3,0.0,0.0,14.54,29.92,0.0,0.0
ASN,14,0.0361,-68.9,154.2,0.0,0.0,5.14,12.76,0.0,0.0
ASN,140,0.3608,-70.4,-33.5,0.0,0.0,7.74,16.33,0.0,0.0
ASP,30,0.0855,58.7,30.5,0.0,0.0,5.07,14.44,0.0,0.0
ASP,6,0.0171,61.4,162.0,0.0,0.0,5.39,22.19,0.0,0.0
ASP,30,0.0855,65.2,-30.5,0.0,0.0,9.14,17.07,0.0,0.0
ASP,49,0.1396,-173.6,40.5,0.0,0.0,7.39,19.18,0.0,0.0
ASP,16,0.0456,-175.8,-178.3,0.0,0.0,5.87,21.34,0.0,0.0
ASP,33,0.094,-167.2,-42.3,0.0,0.0,10.69,30.33,0.0,0.0
ASP,37,0.1054,-73.4,32.1,0.0,0.0,10.94,24.22,0.0,0.0
ASP,13,0.037,-72.4,164.9,0.0,0.0,7.54,16.03,0.0,0.0
ASP,137,0.3903,-67.6,-29.1,0.0,0.0,8.27,14.05,0.0,0.0
HIS,13,0.0524,60.8,79.4,0.0,0.0,5.72,10.34,0.0,0.0
HIS,8,0.0323,63.3,-129.0,0.0,0.0,0.97,2.55,0.0,0.0
HIS,29,0.1169,62.7,-77.1,0.0,0.0,8.15,10.13,0.0,0.0
HIS,35,0.1411,-175.8,68.3,0.0,0.0,5.6,14.32,0.0,0.0
HIS,5,0.0202,-166.0,-165.0,0.0,0.0,12.57,7.2,0.0,0.0
HIS,40,0.1613,-173.1,-89.0,0.0,0.0,7.97,14.88,0.0,0.0
HIS,27,0.1089,-69.8,89.4,0.0,0.0,7.53,21.34,0.0,0.0
HIS,38,0.1532,-68.5,167.2,0.0,0.0,4.7,16.72,0.0,0.0
HIS,53,0.2137,-63.0,-65.7,0.0,0.0,9.33,11.3,0.0,0.0
ILE,5,0.0169,59.2,94.4,0.0,0.0,6.38,14.5,0.0,0.0
ILE,42,0.1419,63.7,170.9,0.0,0.0,7.6,7.08,0.0,0.0
ILE,2,0.0068,29.9,-99.4,0.0,0.0,0.0,0.02,0.0,0.0
ILE,14,0.0473,-168.0,67.7,0.0,0.0,7.24,6.88,0.0,0.0
ILE,16,0.0541,-173.2,166.7,0.0,0.0,4.71,7.39,0.0,0.0
ILE,15,0.0507,-71.8,76.5,0.0,0.0,19.43,13.12,0.0,0.0
ILE,156,0.527,-64.5,173.4,0.0,0.0,6.05,7.81,0.0,0.0
ILE,46,0.1554,-59.4,-60.5,0.0,0.0,5.86,7.01,0.0,0.0
LEU,8,0.0217,60.4,77.9,0.0,0.0,7.81,19.75,0.0,0.0
LEU,89,0.2418,-175.0,63.0,0.0,0.0,9.14,6.83,0.0,0.0
LEU,17,0.0462,-169.3,149.0,0.0,0.0,12.6,17.96,0.0,0.0
LEU,2,0.0054,-168.0,-77.9,0.0,0.0,2.58,9.02,0.0,0.0
LEU,33,0.0897,-89.8,55.1,0.0,0.0,10.13,13.97,0.0,0.0
LEU,213,0.5788,-63.5,176.1,0.0,0.0,6.29,6.04,0.0,0.0
LEU,6,0.0163,-79.0,-52.3,0.0,0.0,11.9,17.32,0.0,0.0
PHE,23,0.0799,64.5,85.1,0.0,0.0,4.92,8.24,0.0,0.0
PHE,1,0.0035,69.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0
