AA,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
LYS,220,0.0494,-66.1,-179.5,-178.3,-63.5,7.93,11.0,12.26,10.94
LYS,17,0.0038,-68.9,-176.3,-80.1,68.0,12.93,13.88,11.91,8.84
LYS,174,0.0391,-67.2,-171.4,-69.1,-177.2,8.6,11.86,11.62,11.64
LYS,67,0.0151,-67.3,-169.2,-68.0,-66.9,8.55,10.9,8.33,11.27
LYS,3,0.0007,-64.6,-83.6,87.5,52.0,19.23,12.48,12.77,10.48
LYS,14,0.0031,-58.5,-86.3,78.4,174.7,9.29,14.73,9.98,10.99
LYS,5,0.0011,-80.9,-80.4,78.9,-47.6,13.75,11.8,6.69,33.93
LYS,100,0.0225,-63.4,-68.7,-179.4,62.6,8.91,12.71,12.09,10.3
LYS,260,0.0584,-64.1,-66.0,-179.7,-178.5,9.36,10.41,9.32,8.97
LYS,114,0.0256,-61.4,-64.1,-178.5,-62.2,8.39,9.67,11.34,9.91
LYS,7,0.0016,-56.2,-68.3,-103.2,60.8,12.15,11.1,10.02,5.06
LYS,59,0.0133,-60.4,-65.1,-71.7,-177.6,10.78,12.35,9.44,8.8
LYS,22,0.0049,-59.2,-67.2,-70.5,-67.1,6.91,14.01,12.05,9.69
GLN,8,0.0033,64.8,83.5,38.2,0.0,7.09,9.45,14.58,0.0
GLN,2,0.0008,33.5,74.7,176.3,0.0,6.71,13.94,50.07,0.0
GLN,3,0.0012,72.6,97.4,-31.1,0.0,2.99,5.89,35.33,0.0
GLN,49,0.0201,65.1,-175.6,54.6,0.0,7.35,11.87,21.88,0.0
GLN,22,0.009,56.3,-174.7,162.6,0.0,16.13,10.22,13.45,0.0
GLN,57,0.0234,61.2,-178.9,-50.1,0.0,8.48,7.89,19.97,0.0
GLN,19,0.0078,63.1,-83.9,22.1,0.0,12.96,6.6,17.66,0.0
GLN,3,0.0012,43.9,-94.5,170.4,0.0,15.46,12.21,19.71,0.0
GLN,15,0.0062,63.5,-73.2,-43.3,0.0,12.5,10.36,15.69,0.0
GLN,208,0.0853,-173.6,65.1,48.3,0.0,9.53,8.42,15.11,0.0
GLN,42,0.0172,-171.2,68.1,-148.8,0.0,13.41,8.98,18.36,0.0
