AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
LYS,3,0.0007,61.9,-79.3,-66.4,-173.2,20.19,13.3,11.31,7.85
LYS,1,0.0002,37.6,-77.2,-68.1,-61.5,0.0,0.0,0.0,0.0
LYS,19,0.0043,-179.9,73.2,72.6,64.2,8.6,8.98,11.6,8.7
LYS,30,0.0067,-173.0,62.6,65.5,-178.6,9.99,13.25,9.58,13.31
LYS,8,0.0018,-172.2,72.5,73.4,-83.5,15.09,6.72,11.32,9.26
LYS,44,0.0099,-173.6,71.3,169.8,58.7,11.33,11.52,17.8,10.78
LYS,130,0.0292,-174.6,67.6,176.6,175.6,8.95,11.16,10.25,9.91
LYS,40,0.009,-174.2,69.8,174.5,-61.3,12.58,10.07,9.13,8.97
LYS,5,0.0011,-163.3,80.8,-98.6,143.2,13.6,4.4,21.73,23.24
LYS,5,0.0011,-164.3,83.6,-67.8,-67.4,24.06,10.93,9.11,7.61
LYS,23,0.0052,179.2,172.9,73.1,68.8,8.2,8.43,11.63,7.73
LYS,122,0.0274,-174.9,173.3,70.7,176.4,8.8,12.89,11.15,9.17
LYS,14,0.0031,-178.9,176.4,81.6,-76.8,12.53,17.13,12.32,12.92
LYS,153,0.0344,-176.2,179.0,177.6,62.7,9.15,10.31,10.56,8.84
LYS,502,0.1128,-176.3,177.9,180.0,-179.7,8.02,8.52,8.34,8.18
LYS,140,0.0315,-176.3,174.4,-179.3,-67.1,8.32,11.12,11.56,11.0
LYS,20,0.0045,-173.7,-177.6,-77.2,72.3,8.06,12.42,8.79,10.95
LYS,120,0.027,-171.8,-178.6,-65.4,-178.0,10.58,11.99,12.47,10.8
LYS,34,0.0076,-173.9,-173.1,-69.9,-69.2,9.34,9.29,11.4,11.09
LYS,2,0.0004,177.0,-49.8,37.1,-177.0,11.94,31.22,32.37,4.48
LYS,17,0.0038,-155.2,-81.6,178.0,63.4,14.42,19.95,12.23,10.85
LYS,27,0.0061,-165.5,-92.5,179.5,-176.6,11.83,9.95,9.57,10.25
LYS,20,0.0045,-152.6,-77.1,-178.3,-64.2,12.8,14.03,11.98,15.24
LYS,1,0.0002,-174.8,-92.5,-94.0,61.6,0.0,0.0,0.0,0.0
LYS,7,0.0016,-158.8,-105.4,-75.0,-174.0,10.55,9.3,16.14,6.66
LYS,4,0.0009,-156.0,-70.8,-79.0,-68.0,25.45,15.03,13.93,15.67
LYS,6,0.0013,-69.9,94.8,62.0,60.5,15.75,15.05,6.47,9.29
LYS,16,0.0036,-92.0,67.8,67.3,177.6,8.67,18.53,9.11,10.11
LYS,1,0.0002,-88.8,107.5,111.9,-47.2,0.0,0.0,0.0,0.0
LYS,24,0.0054,-89.5,68.2,177.2,66.9,12.42,13.39,9.14,11.47
LYS,64,0.0144,-88.6,74.8,177.6,177.9,15.61,17.63,11.35,11.73
LYS,16,0.0036,-83.2,76.8,170.4,-56.4,12.41,17.33,11.23,15.22
LYS,8,0.0018,-86.9,71.7,-96.2,171.7,12.82,15.06,7.77,11.71
LYS,73,0.0164,-68.7,178.5,72.0,65.8,10.59,13.5,12.0,9.38
