AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
LYS,3,0.0008,40.0,-101.3,169.5,78.2,20.34,7.22,21.83,16.02
LYS,3,0.0008,56.3,-88.5,-168.7,174.8,11.19,5.27,4.65,1.16
LYS,3,0.0008,34.8,-37.0,-172.1,-74.0,18.24,3.82,19.49,17.91
LYS,1,0.0003,98.0,-68.4,-116.8,64.0,0.0,0.0,0.0,0.0
LYS,3,0.0008,61.9,-79.3,-66.4,-173.2,20.19,13.3,11.31,7.85
LYS,16,0.0042,-179.0,74.7,71.0,64.1,9.29,6.74,9.62,9.12
LYS,28,0.0074,-174.3,60.8,65.7,-178.3,9.32,10.82,9.94,13.3
LYS,6,0.0016,-171.5,71.8,73.5,-84.3,20.24,8.6,11.05,4.59
LYS,36,0.0095,-171.9,71.6,172.0,59.2,11.34,11.62,18.78,9.59
LYS,107,0.0284,-174.3,67.1,177.0,175.9,9.33,11.19,10.28,10.38
LYS,31,0.0082,-174.4,71.1,175.9,-62.0,13.7,11.05,9.36,8.37
LYS,5,0.0013,-163.3,80.8,-98.6,143.2,13.6,4.4,21.73,23.24
LYS,4,0.0011,-175.6,83.0,-67.9,-66.2,18.22,13.65,11.78,9.22
LYS,20,0.0053,178.5,173.0,72.6,68.1,8.84,8.7,11.97,7.32
LYS,100,0.0265,-175.3,172.2,71.0,176.3,8.96,13.27,11.22,8.87
LYS,11,0.0029,-179.8,179.3,82.1,-74.2,15.13,19.66,13.8,14.46
LYS,131,0.0347,-176.6,179.4,176.7,62.6,9.2,10.14,10.78,8.93
LYS,433,0.1149,-176.1,177.9,179.8,-179.9,8.25,8.4,8.37,8.15
LYS,115,0.0305,-176.1,173.8,-178.4,-66.6,8.46,10.78,12.0,10.94
LYS,17,0.0045,-172.6,-177.3,-77.1,72.0,8.16,12.56,9.38,10.2
LYS,101,0.0268,-172.4,-177.9,-64.3,-177.8,10.59,11.41,12.24,11.08
LYS,22,0.0058,-176.1,-173.2,-66.3,-65.7,8.23,8.88,8.45,7.78
LYS,2,0.0005,177.0,-49.8,37.1,-177.0,11.94,31.22,32.37,4.48
LYS,13,0.0034,-161.9,-90.7,-179.8,62.9,12.45,19.16,9.93,8.97
LYS,25,0.0066,-167.0,-93.4,179.4,-175.7,11.12,9.53,10.19,10.74
LYS,18,0.0048,-152.9,-79.2,-179.5,-66.3,12.26,14.63,12.99,15.26
LYS,5,0.0013,-155.3,-106.8,-81.4,-172.0,11.29,6.62,18.7,8.65
LYS,1,0.0003,-136.5,-57.7,-63.5,-114.9,0.0,0.0,0.0,0.0
LYS,4,0.0011,-59.7,93.3,60.5,60.0,15.29,14.33,3.96,16.7
LYS,11,0.0029,-95.6,68.8,67.8,177.2,9.37,17.2,8.02,7.52
LYS,18,0.0048,-91.4,70.1,173.3,67.6,9.98,12.07,9.06,10.94
LYS,49,0.013,-89.3,73.8,177.0,177.9,16.35,18.31,11.47,11.32
LYS,13,0.0034,-85.5,78.0,167.2,-54.3,10.98,19.75,11.23,16.05
LYS,5,0.0013,-95.6,70.9,-95.2,174.0,8.48,13.03,8.6,9.47
LYS,65,0.0172,-68.7,178.6,71.3,64.9,10.84,14.04,11.94,9.56
LYS,161,0.0427,-69.0,174.6,66.3,178.6,9.63,11.4,9.76,7.52
LYS,22,0.0058,-66.2,176.4,80.9,-63.7,13.29,10.95,14.09,12.8
LYS,165,0.0438,-68.9,-176.0,175.5,66.9,7.63,9.72,12.05,12.05
LYS,790,0.2095,-66.8,-179.7,179.5,179.0,7.22,8.18,7.73,8.61
LYS,208,0.0552,-68.7,-179.6,-178.2,-63.7,7.98,11.13,10.05,9.8
LYS,12,0.0032,-67.0,-173.8,-83.8,73.7,8.85,9.14,14.44,14.24
LYS,140,0.0371,-67.2,-172.4,-71.3,-177.6,8.82,11.75,11.74,12.98
LYS,42,0.0111,-64.1,-162.9,-71.5,-69.2,9.5,12.99,11.76,11.96
LYS,9,0.0024,-59.4,-75.2,92.9,71.3,8.21,14.24,11.08,6.89
LYS,19,0.005,-66.3,-83.3,83.2,174.0,12.31,17.21,18.68,15.58
LYS,91,0.0241,-61.3,-68.7,179.6,60.3,9.38,11.26,11.41,10.6
LYS,231,0.0613,-61.7,-66.1,-178.4,-177.6,7.98,8.6,8.41,8.92
LYS,106,0.0281,-60.8,-68.7,-176.3,-65.4,9.1,10.35,11.95,11.35
LYS,6,0.0016,-71.2,-68.7,-97.7,57.4,8.53,10.72,8.17,11.34
LYS,62,0.0164,-61.4,-66.9,-68.3,-178.6,9.04,13.82,8.44,6.86
LYS,19,0.005,-63.1,-67.8,-71.4,-64.3,7.09,7.41,12.5,8.87
GLN,9,0.0042,68.8,86.1,52.8,0.0,6.26,4.84,19.93,0.0
GLN,5,0.0023,51.9,86.5,-156.4,0.0,27.93,9.88,21.52,0.0
GLN,2,0.0009,46.6,96.8,-66.3,0.0,15.5,6.71,41.35,0.0
GLN,53,0.0247,63.2,179.9,57.0,0.0,12.76,9.92,22.98,0.0
GLN,23,0.0107,60.4,-176.4,179.2,0.0,12.69,13.32,20.69,0.0
GLN,52,0.0242,64.0,-177.2,-44.4,0.0,7.9,10.41,23.08,0.0
GLN,9,0.0042,58.3,-86.3,47.7,0.0,6.04,3.21,26.57,0.0
GLN,5,0.0023,53.0,-76.7,170.3,0.0,14.21,2.71,10.71,0.0
GLN,16,0.0075,75.5,-69.3,-35.7,0.0,10.11,6.53,11.63,0.0
GLN,173,0.0806,-175.8,63.2,50.4,0.0,7.42,7.84,16.1,0.0
GLN,41,0.0191,-176.7,64.6,-145.6,0.0,10.28,6.54,18.9,0.0
GLN,55,0.0256,-171.9,69.2,-81.0,0.0,11.31,10.34,26.86,0.0
GLN,160,0.0745,-175.9,176.1,41.0,0.0,8.06,9.46,21.07,0.0
GLN,66,0.0307,-173.6,-177.8,172.5,0.0,7.67,8.95,22.06,0.0
GLN,167,0.0778,-175.4,179.8,-38.1,0.0,9.44,11.08,22.29,0.0
GLN,10,0.0047,-154.6,-106.2,51.0,0.0,24.58,14.61,29.59,0.0
GLN,2,0.0009,175.8,-76.4,139.8,0.0,20.16,9.85,4.21,0.0
GLN,29,0.0135,-165.8,-84.2,-37.6,0.0,9.66,8.9,15.8,0.0
GLN,47,0.0219,-68.8,75.2,45.4,0.0,8.96,10.2,16.52,0.0
GLN,7,0.0033,-71.8,72.2,-144.9,0.0,11.41,9.46,9.24,0.0
GLN,37,0.0172,-70.1,89.3,-47.8,0.0,10.48,11.73,25.15,0.0
GLN,288,0.1341,-66.8,178.2,40.7,0.0,7.99,9.94,20.73,0.0
GLN,95,0.0442,-67.1,179.3,-179.7,0.0,7.92,9.01,22.32,0.0
GLN,413,0.1924,-67.4,178.5,-43.4,0.0,7.65,9.25,21.34,0.0
GLN,76,0.0354,-66.6,-67.2,80.5,0.0,7.63,10.19,27.94,0.0
GLN,50,0.0233,-61.9,-63.7,145.8,0.0,10.73,8.36,18.58,0.0
GLN,257,0.1197,-64.1,-62.1,-45.3,0.0,8.12,8.22,15.24,0.0
GLU,15,0.0033,64.2,82.0,40.9,0.0,14.09,8.51,14.01,0.0
GLU,3,0.0007,45.3,79.6,-171.1,0.0,9.63,2.69,2.6,0.0
GLU,3,0.0007,37.5,75.7,-96.5,0.0,26.72,5.23,28.79,0.0
GLU,119,0.0264,61.6,-176.0,44.5,0.0,11.41,9.45,23.97,0.0
GLU,58,0.0128,63.8,179.9,177.9,0.0,10.65,11.2,17.16,0.0
GLU,124,0.0275,63.3,-178.3,-46.8,0.0,11.22,11.08,24.07,0.0
GLU,46,0.0102,64.0,-88.4,29.7,0.0,9.18,8.02,18.18,0.0
GLU,14,0.0031,59.8,-72.9,164.8,0.0,18.78,13.28,30.03,0.0
GLU,41,0.0091,56.3,-74.9,-44.0,0.0,18.73,8.1,20.47,0.0
GLU,283,0.0627,-172.6,63.8,36.7,0.0,11.62,7.54,16.26,0.0
GLU,55,0.0122,-175.4,66.6,-164.0,0.0,10.64,8.02,15.06,0.0
GLU,74,0.0164,-175.4,73.4,-44.4,0.0,12.06,11.15,27.91,0.0
GLU,444,0.0984,-175.6,178.0,37.9,0.0,9.34,9.4,21.19,0.0
GLU,172,0.0381,-173.7,-179.5,173.6,0.0,10.44,10.14,17.89,0.0
GLU,442,0.0979,-174.7,-179.9,-32.3,0.0,8.71,9.51,20.93,0.0
GLU,15,0.0033,-164.9,-91.5,47.3,0.0,21.22,12.6,26.82,0.0
GLU,15,0.0033,-157.6,-85.0,154.1,0.0,12.46,10.74,15.03,0.0
GLU,50,0.0111,-161.0,-81.2,-40.8,0.0,13.89,13.06,16.89,0.0
GLU,147,0.0326,-66.9,76.7,38.3,0.0,12.71,9.62,20.14,0.0
GLU,35,0.0078,-67.0,80.9,-175.9,0.0,6.3,7.98,17.37,0.0
GLU,103,0.0228,-64.5,90.4,-27.2,0.0,9.49,8.48,19.19,0.0
GLU,652,0.1444,-68.1,176.3,32.9,0.0,9.62,10.68,20.65,0.0
GLU,199,0.0441,-65.9,179.3,179.3,0.0,8.58,9.28,18.49,0.0
GLU,695,0.154,-66.3,-179.0,-33.4,0.0,7.62,9.18,19.04,0.0
GLU,140,0.031,-63.8,-75.5,44.9,0.0,9.4,11.99,29.1,0.0
GLU,108,0.0239,-65.2,-69.7,162.8,0.0,10.38,9.63,17.77,0.0
GLU,462,0.1023,-66.0,-63.3,-40.6,0.0,8.5,8.84,16.69,0.0
MET,1,0.0009,68.3,83.9,77.3,0.0,0.0,0.0,0.0,0.0
MET,1,0.0009,62.8,71.5,157.2,0.0,0.0,0.0,0.0,0.0
MET,2,0.0019,72.8,82.7,-57.3,0.0,31.75,17.46,25.27,0.0
MET,35,0.0325,63.1,-178.6,71.3,0.0,8.39,7.95,15.52,0.0
MET,16,0.0148,61.2,-175.0,175.5,0.0,7.48,9.86,24.7,0.0
MET,34,0.0315,63.9,-179.0,-69.3,0.0,9.21,7.99,11.09,0.0
MET,3,0.0028,71.6,-70.1,-165.5,0.0,9.99,3.38,13.69,0.0
MET,4,0.0037,46.9,-49.2,-67.5,0.0,18.18,23.88,3.22,0.0
MET,61,0.0566,-172.7,60.4,74.9,0.0,10.5,6.12,12.83,0.0
MET,25,0.0232,-171.2,64.2,-176.8,0.0,10.11,7.37,22.21,0.0
MET,10,0.0093,-176.2,82.7,-82.6,0.0,11.87,5.6,12.52,0.0
MET,75,0.0696,-176.5,-179.6,68.2,0.0,7.87,13.18,12.64,0.0
MET,41,0.038,-174.8,176.7,176.9,0.0,8.44,8.77,13.45,0.0
MET,83,0.077,-172.8,178.9,-67.4,0.0,9.87,7.99,11.34,0.0
MET,6,0.0056,-175.1,-81.4,176.3,0.0,20.11,11.84,6.41,0.0
MET,15,0.0139,-177.0,-85.4,-67.8,0.0,4.6,5.37,13.41,0.0
MET,7,0.0065,-82.1,67.2,66.2,0.0,11.95,9.57,5.38,0.0
MET,4,0.0037,-74.3,80.1,171.8,0.0,7.28,2.64,7.16,0.0
MET,3,0.0028,-64.3,39.8,-77.2,0.0,24.25,36.3,12.41,0.0
MET,162,0.1503,-66.6,177.1,68.2,0.0,6.79,7.96,8.79,0.0
MET,99,0.0918,-68.6,-178.3,-178.7,0.0,7.76,7.55,17.11,0.0
MET,113,0.1048,-66.6,-172.7,-70.8,0.0,7.37,7.61,13.92,0.0
MET,58,0.0538,-65.8,-63.6,96.4,0.0,4.49,7.37,7.44,0.0
MET,27,0.025,-66.7,-66.4,176.9,0.0,9.58,9.77,19.4,0.0
MET,193,0.179,-66.4,-61.8,-68.3,0.0,7.1,7.81,9.37,0.0
ASN,155,0.0623,62.3,47.4,0.0,0.0,7.68,23.63,0.0,0.0
ASN,23,0.0092,68.2,-175.3,0.0,0.0,4.74,19.05,0.0,0.0
ASN,131,0.0527,65.9,-36.6,0.0,0.0,7.85,16.99,0.0,0.0
ASN,347,0.1395,-169.5,39.0,0.0,0.0,10.24,18.31,0.0,0.0
ASN,64,0.0257,-171.8,-159.6,0.0,0.0,8.59,22.35,0.0,0.0
ASN,305,0.1226,-170.6,-47.5,0.0,0.0,8.55,25.5,0.0,0.0
ASN,253,0.1017,-69.7,58.7,0.0,0.0,11.55,32.97,0.0,0.0
ASN,188,0.0756,-69.3,152.4,0.0,0.0,8.62,18.24,0.0,0.0
ASN,1021,0.4105,-68.8,-39.3,0.0,0.0,7.8,18.14,0.0,0.0
ASP,191,0.0545,57.8,28.3,0.0,0.0,7.2,17.98,0.0,0.0
ASP,63,0.018,62.6,-179.7,0.0,0.0,6.7,16.8,0.0,0.0
ASP,213,0.0608,61.5,-34.4,0.0,0.0,7.52,19.81,0.0,0.0
ASP,596,0.1702,-173.5,41.5,0.0,0.0,8.7,22.35,0.0,0.0
ASP,100,0.0286,-172.8,177.9,0.0,0.0,8.05,20.38,0.0,0.0
ASP,507,0.1448,-169.5,-30.2,0.0,0.0,8.47,21.38,0.0,0.0
ASP,305,0.0871,-74.5,24.6,0.0,0.0,9.68,18.99,0.0,0.0
ASP,146,0.0417,-69.4,166.1,0.0,0.0,7.99,13.53,0.0,0.0
ASP,1381,0.3943,-68.3,-28.8,0.0,0.0,6.96,14.63,0.0,0.0
