Res	Avg.E	Form	Res	Avg.E	Form
6HAU	19.709929	U	6HAU	401.776501	U
6I0V	26.502258	U	6I0V	244.772680	U
6L1W	34.198096	U	6L1W	137.121409	U
6L5N	22.156854	U	6L5N	254.154433	U
6LLB	42.927774	U	6LLB	270.537662	U
6LT7	53.765575	U	6LT7	76.333719	U
6LVR	19.976547	U	6LVR	130.164210	U
6PZQ	10.876885	U	6PZQ	241.537749	U
6R9P	27.330691	U	6R9P	528.263558	U
6RTI	28.797187	U	6RTI	566.370874	U
6SY4	24.604873	U	6SY4	242.894721	U
6U6Y	77.682945	U	6U6Y	672.287554	U
6U9X	38.980805	U	6U9X	180.277964	U
6ZOT	3.168726	U	6ZOT	126.580708	U
6WXY	41.465422	U	6WXY	675.313944	U
6ZDP	23.430878	U	6ZDP	579.333672	U
7C45	51.434144	U	7C45	146.849283	U
7DOL	40.091175	U	7DOL	453.005877	U
7E8O	11.700443	U	7E8O	315.600947	U
7EIU	34.245194	U	7EIU	90.270193	U
7K5L	11.704180	U	7K5L	84.123120	U
7K98	115.291251	U	7K98	1231.875116	U
7KFN	25.256937	U	7KFN	508.553195	U
7KKV	13.147145	U	7KKV	51.575108	U
7KL3	23.801005	U	7KL3	132.510043	U
7L6T	15.224151	U	7L6T	224.239043	U
7MJW	36.681392	U	7MJW	288.701371	U
7OG0	14.450590	U	7OG0	390.878284	U
7OM6	57.653978	U	7OM6	410.116113	U
7P0V	9.765053	U	7P0V	47.487763	U
7V4G	25.460994	U	7V4G	140.097156	U
7XD8	65.173619	U	7XD8	443.865975	U
7VSJ	18.555683	U	7VSJ	105.828259	U
7VKI	16.353789	U	7VKI	74.840031	U
7VKL	13.077712	U	7VKL	101.008253	U
7Y7Q	47.923819	U	7Y7Q	1487.316692	U
8AF0	14.610197	U	8AF0	184.189597	U
8DZK	22.081132	U	8DZK	300.996080	U
8EDJ	41.686808	U	8EDJ	275.660163	U
8H1B	21.457599	U	8H1B	112.043778	U
7YSE	41.468351	U	7YSE	620.117405	U
7XWZ	13.016246	U	7XWZ	71.700207	U
8AXF	193.773991	U	8AXF	707.042343	U
8JOZ	29.324236	U	8JOZ	143.561890	U
7ZLQ	12.499305	U	7ZLQ	54.245507	U
8TG4	14.631749	U	8TG4	100.573275	U
1ASY	43.768529	B	1ASY	339.203512	B
1B23	46.138131	B	1B23	224.777421	B
1C0A	40.185166	B	1C0A	403.715802	B
1QTQ	68.729845	B	1QTQ	364.596107	B
2BTE	12.393104	B	2BTE	642.888967	B
2DRB	45.226940	B	2DRB	330.350504	B
2FMT	26.186395	B	2FMT	156.484762	B
2ZZM	59.076331	B	2ZZM	201.599362	B
3HL2	18.698767	B	3HL2	1327.293841	B
3VJR	4.994208	B	3VJR	122.846250	B
1DFU	18.709320	B	1DFU	49.449671	B
1FEU	28.953850	B	1FEU	102.546136	B
1MMS	24.332110	B	1MMS	64.518978	B
1OOA	22.173482	B	1OOA	229.454647	B
1R3E	43.771814	B	1R3E	191.159977	B
2R8S	37.136384	B	2R8S	300.316548	B
3SNP	44.334025	B	3SNP	659.637961	B
1JBS	26.921409	B	1JBS	87.177652	B
1WSU	9.387781	B	1WSU	90.752701	B
1ZBH	6.517248	B	1ZBH	376.652690	B
2BH2	60.612406	B	2BH2	220.246055	B
1F7U	82.118530	B	1F7U	429.061185	B
1H3E	48.166401	B	1H3E	525.249988	B
1H4S	40.508426	B	1H4S	723.432082	B
1J1U	12.088143	B	1J1U	462.404559	B
1N78	74.327728	B	1N78	304.181145	B
1QF6	43.216077	B	1QF6	306.179610	B
1SER	26.614097	B	1SER	585.998216	B
