AA,PHI,PSI,_Count,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ASN,-120,120,3,8,0.375,-173.3,32.81,0.0,0.0,12.27,27.12,0.0,0.0
ASN,-120,120,2,8,0.25,-176.79,-41.39,0.0,0.0,1.31,33.75,0.0,0.0
ASN,-120,120,2,8,0.25,-66.75,-58.74,0.0,0.0,6.66,33.67,0.0,0.0
ASN,-120,150,2,8,0.25,53.59,67.79,0.0,0.0,13.31,8.39,0.0,0.0
ASN,-120,150,2,8,0.25,-80.24,25.67,0.0,0.0,13.5,18.51,0.0,0.0
ASN,-120,150,2,8,0.25,-71.01,-57.02,0.0,0.0,4.9,16.19,0.0,0.0
ASN,-90,-180,2,6,0.33333333,60.37,48.24,0.0,0.0,1.59,9.79,0.0,0.0
ASN,-90,-180,3,6,0.5,70.82,-19.52,0.0,0.0,3.03,12.6,0.0,0.0
ASN,-90,-60,2,3,0.66666667,-58.87,-65.29,0.0,0.0,0.72,19.66,0.0,0.0
ASN,-90,-30,2,19,0.10526316,55.21,-56.89,0.0,0.0,4.75,4.5,0.0,0.0
ASN,-90,-30,4,19,0.21052632,-67.57,170.39,0.0,0.0,12.46,13.33,0.0,0.0
ASN,-90,-30,11,19,0.57894737,-71.11,-42.98,0.0,0.0,6.54,20.67,0.0,0.0
ASN,-90,0,4,19,0.21052632,63.98,19.98,0.0,0.0,5.61,13.96,0.0,0.0
ASN,-90,0,2,19,0.10526316,32.67,-47.39,0.0,0.0,22.17,10.99,0.0,0.0
ASN,-90,0,2,19,0.10526316,-67.39,1.93,0.0,0.0,10.83,1.68,0.0,0.0
ASN,-90,0,2,19,0.10526316,-69.62,156.68,0.0,0.0,5.69,11.81,0.0,0.0
ASN,-90,0,8,19,0.42105263,-69.29,-46.16,0.0,0.0,4.97,14.76,0.0,0.0
ASN,-90,30,2,5,0.4,56.42,36.24,0.0,0.0,5.7,25.48,0.0,0.0
ASN,-90,30,2,5,0.4,-69.95,-38.74,0.0,0.0,12.28,16.65,0.0,0.0
ASN,-90,90,10,17,0.58823529,178.98,29.76,0.0,0.0,7.42,14.59,0.0,0.0
ASN,-90,90,2,17,0.11764706,-176.49,-145.03,0.0,0.0,7.47,0.65,0.0,0.0
