AA,PHI,PSI,_Count,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
ARG,-120,150,5,184,0.02717391,64.62,176.57,177.73,91.44,5.86,10.17,15.69,4.11
ARG,-120,150,6,184,0.0326087,67.7,-179.79,-177.4,-174.69,8.39,6.87,4.35,9.35
ARG,-120,150,4,184,0.02173913,60.88,179.77,-148.0,-89.97,4.47,5.38,9.68,8.01
ARG,-120,150,2,184,0.01086957,-171.38,-170.39,74.17,-115.44,0.69,5.41,1.91,3.29
ARG,-120,150,3,184,0.01630435,-168.4,179.17,-171.74,72.59,2.84,9.99,6.24,3.69
ARG,-120,150,3,184,0.01630435,-172.62,179.45,165.29,-162.19,22.55,5.89,15.44,7.44
ARG,-120,150,9,184,0.04891304,-179.15,174.92,-70.35,161.87,15.08,7.57,17.73,22.39
ARG,-120,150,6,184,0.0326087,179.77,-177.63,-60.76,-83.16,5.23,4.77,3.32,5.91
ARG,-120,150,3,184,0.01630435,-72.02,90.88,61.57,71.57,6.37,11.86,8.35,6.22
ARG,-120,150,2,184,0.01086957,-59.43,110.99,66.1,-165.58,0.97,6.79,6.65,4.14
ARG,-120,150,3,184,0.01630435,-84.2,77.9,173.8,95.93,11.43,6.77,3.09,2.81
ARG,-120,150,2,184,0.01086957,-84.77,72.13,-169.09,162.42,3.61,13.86,13.15,32.92
ARG,-120,150,7,184,0.03804348,-64.66,179.79,64.43,78.0,8.95,9.08,5.35,9.75
ARG,-120,150,5,184,0.02717391,-69.42,-176.72,63.87,-174.69,5.9,14.6,10.88,8.3
ARG,-120,150,13,184,0.07065217,-65.97,-179.92,177.9,86.09,6.88,9.7,7.82,8.89
ARG,-120,150,19,184,0.10326087,-64.37,-172.42,176.44,177.82,12.4,12.81,9.48,12.91
ARG,-120,150,16,184,0.08695652,-65.65,171.68,-178.96,-95.93,7.74,15.9,9.79,10.35
ARG,-120,150,4,184,0.02173913,-64.27,177.65,-62.5,111.82,4.79,4.28,4.49,3.43
ARG,-120,150,20,184,0.10869565,-60.87,-161.93,-60.45,164.91,8.42,15.06,11.23,13.43
ARG,-120,150,4,184,0.02173913,-74.1,-173.54,-61.82,-72.61,4.23,16.12,8.95,8.28
ARG,-120,150,7,184,0.03804348,-50.34,-68.89,177.82,85.12,8.67,5.53,5.95,8.08
ARG,-120,150,7,184,0.03804348,-49.14,-74.71,-178.62,178.41,9.21,13.52,10.76,13.4
ARG,-120,150,12,184,0.06521739,-61.72,-68.8,177.52,-87.51,5.95,5.37,2.57,5.89
ARG,-120,150,4,184,0.02173913,-54.17,-72.84,-68.84,-172.08,2.6,4.52,4.07,27.29
ARG,-90,-180,4,25,0.16,-65.68,164.93,70.33,175.42,10.7,12.3,9.25,10.36
ARG,-90,-180,4,25,0.16,-53.53,-148.21,-179.69,-171.21,7.03,17.15,6.53,11.52
ARG,-90,-180,4,25,0.16,-73.68,179.73,173.78,-92.54,5.79,6.54,9.94,11.37
ARG,-90,-180,3,25,0.12,-45.62,164.37,-73.77,-175.81,17.09,9.2,25.4,10.67
ARG,-90,-180,2,25,0.08,-61.56,-68.29,89.16,-156.49,3.65,0.52,5.53,11.36
ARG,-90,-180,2,25,0.08,-40.31,-74.5,-173.48,-175.27,7.77,24.84,2.67,3.26
ARG,-90,-150,2,3,0.66666667,-55.01,178.3,-178.51,-178.91,2.65,3.7,5.49,1.18
ARG,-90,-60,2,36,0.05555556,176.75,97.03,-149.59,176.66,4.44,7.37,5.23,13.37
ARG,-90,-60,3,36,0.08333333,176.18,176.28,59.06,85.37,12.41,4.66,9.18,4.3
ARG,-90,-60,2,36,0.05555556,-166.95,162.77,152.84,-160.34,16.46,12.31,8.49,6.69
ARG,-90,-60,2,36,0.05555556,-165.84,153.21,-143.22,-95.49,0.0,0.0,0.0,0.0
ARG,-90,-60,3,36,0.08333333,-169.21,-166.02,-65.44,171.37,11.63,7.24,6.13,18.13
ARG,-90,-60,3,36,0.08333333,-179.34,-174.87,-75.59,-88.75,5.04,17.59,4.56,0.3
ARG,-90,-60,2,36,0.05555556,-77.2,158.73,65.89,103.01,21.49,16.24,1.04,12.24
ARG,-90,-60,3,36,0.08333333,-71.44,-167.98,-176.32,175.53,5.34,15.37,6.83,23.28
ARG,-90,-60,2,36,0.05555556,-72.12,-162.62,173.92,-81.19,2.0,0.96,3.49,0.04
ARG,-90,-60,3,36,0.08333333,-77.54,179.1,-67.64,142.5,3.16,8.1,13.79,16.39
ARG,-90,-30,3,166,0.01807229,81.9,-179.18,-177.22,80.68,14.7,12.35,25.76,8.86
ARG,-90,-30,3,166,0.01807229,73.31,178.02,169.55,-177.93,12.75,5.19,2.35,12.59
ARG,-90,-30,3,166,0.01807229,74.74,-164.4,-71.24,-151.14,7.12,19.07,15.94,9.03
ARG,-90,-30,3,166,0.01807229,-172.51,80.16,44.08,99.24,3.04,20.18,9.29,1.54
ARG,-90,-30,4,166,0.02409639,175.42,65.83,177.09,81.15,7.28,6.02,4.89,5.4
ARG,-90,-30,2,166,0.01204819,-177.18,65.29,-179.6,174.05,6.58,2.58,15.57,2.5
ARG,-90,-30,4,166,0.02409639,-179.6,170.77,64.55,92.86,9.38,11.05,21.36,8.96
ARG,-90,-30,5,166,0.03012048,-172.44,-169.98,66.61,-173.03,6.41,4.76,6.24,10.61
ARG,-90,-30,3,166,0.01807229,-168.35,162.21,26.68,-93.57,2.47,8.78,19.04,6.17
ARG,-90,-30,2,166,0.01204819,-176.09,-171.33,171.55,86.77,2.02,5.18,4.2,3.84
ARG,-90,-30,6,166,0.03614458,-179.59,178.08,175.68,-173.28,9.02,3.21,8.01,5.66
ARG,-90,-30,5,166,0.03012048,-159.46,-175.8,-87.23,98.76,22.76,4.91,11.62,18.53
ARG,-90,-30,4,166,0.02409639,-161.51,175.3,-71.67,175.21,5.72,15.19,8.15,11.97
ARG,-90,-30,5,166,0.03012048,-159.7,172.24,-77.54,-91.32,6.3,18.06,3.18,15.11
ARG,-90,-30,4,166,0.02409639,-77.35,88.56,168.21,160.51,2.71,6.31,17.15,17.72
ARG,-90,-30,4,166,0.02409639,-69.34,-173.83,60.38,85.08,10.38,7.0,4.41,3.93
ARG,-90,-30,12,166,0.07228916,-71.53,169.49,73.56,-177.17,10.17,12.99,10.56,16.67
ARG,-90,-30,7,166,0.04216867,-63.74,-177.52,65.28,-112.88,5.67,7.78,8.22,3.06
ARG,-90,-30,11,166,0.06626506,-62.48,-173.01,173.27,81.25,4.26,6.32,14.35,13.68
ARG,-90,-30,15,166,0.09036145,-71.52,-178.59,178.91,-177.05,6.55,9.16,8.69,14.75
ARG,-90,-30,7,166,0.04216867,-67.18,-174.95,-164.08,-85.18,8.57,14.49,20.94,9.32
ARG,-90,-30,4,166,0.02409639,-82.63,-172.43,-80.83,93.45,9.83,4.43,16.07,14.37
ARG,-90,-30,14,166,0.08433735,-63.09,-175.74,-62.84,174.19,5.47,12.45,10.86,13.68
ARG,-90,-30,4,166,0.02409639,-76.83,-179.89,-66.32,-90.22,3.11,4.27,13.72,11.08
ARG,-90,-30,5,166,0.03012048,-65.92,-60.0,171.93,85.35,1.14,5.39,8.99,3.5
ARG,-90,-30,6,166,0.03614458,-66.23,-59.97,177.48,-162.23,5.46,8.43,12.68,10.77
ARG,-90,-30,4,166,0.02409639,-44.99,-43.98,-151.4,-101.77,7.18,11.63,13.12,8.04
ARG,-90,-30,7,166,0.04216867,-57.09,-59.08,-54.0,168.98,7.62,14.14,8.7,4.45
ARG,-90,-30,3,166,0.01807229,-49.8,-73.72,-76.7,-94.25,9.31,3.87,10.2,4.93
ARG,-90,0,2,158,0.01265823,57.6,87.72,67.15,64.45,17.92,23.73,4.73,17.76
ARG,-90,0,2,158,0.01265823,64.75,173.16,56.87,83.79,11.31,1.85,1.49,4.7
ARG,-90,0,2,158,0.01265823,84.57,-178.75,93.11,-93.51,8.37,0.03,17.05,6.17
ARG,-90,0,2,158,0.01265823,50.2,175.77,178.29,84.34,14.48,10.26,0.75,5.13
ARG,-90,0,4,158,0.02531646,73.89,179.51,-169.69,-156.33,7.45,4.68,12.57,25.33
ARG,-90,0,3,158,0.01898734,77.24,179.9,-59.87,175.72,4.84,10.64,20.58,6.98
ARG,-90,0,2,158,0.01265823,-158.22,160.47,-64.77,97.74,0.0,0.0,0.01,0.01
ARG,-90,0,4,158,0.02531646,-145.47,-179.6,-45.97,158.3,6.86,3.55,12.0,16.08
ARG,-90,0,3,158,0.01898734,-84.76,88.03,174.92,157.13,16.95,19.44,19.17,23.72
ARG,-90,0,4,158,0.02531646,-70.76,177.08,41.05,89.1,8.55,6.51,11.4,7.74
ARG,-90,0,19,158,0.12025316,-67.51,176.08,75.44,178.93,8.45,9.84,11.32,22.7
ARG,-90,0,2,158,0.01265823,-74.22,-166.17,79.96,-100.9,15.82,0.2,6.45,9.49
ARG,-90,0,11,158,0.06962025,-69.51,174.79,178.05,76.39,3.61,11.62,12.12,11.51
ARG,-90,0,23,158,0.14556962,-67.0,177.73,-178.5,174.07,7.42,9.02,10.53,10.68
ARG,-90,0,9,158,0.05696203,-69.51,175.52,174.13,-88.3,8.43,7.86,14.29,10.3
ARG,-90,0,7,158,0.0443038,-64.39,-178.18,-74.58,94.97,7.77,6.92,5.06,4.46
ARG,-90,0,9,158,0.05696203,-59.21,169.55,-50.95,178.39,8.67,10.87,12.05,16.61
ARG,-90,0,7,158,0.0443038,-63.29,-172.47,-69.44,-87.91,8.68,14.58,6.4,8.16
ARG,-90,0,2,158,0.01265823,-64.56,-69.72,80.64,-140.76,0.59,3.05,0.15,5.13
ARG,-90,0,5,158,0.03164557,-56.23,-58.33,174.51,84.2,9.16,5.49,8.06,5.58
ARG,-90,0,10,158,0.06329114,-62.7,-68.92,-178.83,179.35,7.34,7.74,10.17,7.36
ARG,-90,0,8,158,0.05063291,-57.14,-67.14,-67.06,173.59,13.85,11.36,10.12,8.22
ARG,-90,0,5,158,0.03164557,-63.77,-73.0,-45.59,-89.44,12.49,8.79,9.34,5.4
ARG,-90,30,3,28,0.10714286,-54.94,158.29,71.12,173.97,4.3,5.71,7.03,19.6
ARG,-90,30,3,28,0.10714286,-66.25,167.36,174.01,73.66,6.04,9.76,0.13,2.77
ARG,-90,30,8,28,0.28571429,-63.03,167.91,172.52,-179.35,11.43,9.99,19.41,13.9
ARG,-90,30,3,28,0.10714286,-48.57,136.72,152.72,-14.47,9.12,1.83,0.15,28.72
ARG,-90,30,2,28,0.07142857,-58.02,-163.95,-78.39,169.74,6.69,31.18,15.15,15.86
ARG,-90,60,2,21,0.0952381,36.85,-92.49,144.16,173.29,4.06,3.72,10.85,21.79
ARG,-90,60,4,21,0.19047619,-68.75,177.29,66.53,-166.13,5.44,13.12,7.91,10.9
ARG,-90,60,3,21,0.14285714,-56.99,-178.91,-65.02,172.4,18.66,19.85,7.57,17.69
ARG,-90,60,2,21,0.0952381,-66.58,-64.69,-55.3,-69.6,9.71,0.82,2.58,7.01
ARG,-90,90,2,27,0.07407407,-179.73,-178.52,-178.39,-173.86,8.68,14.95,8.12,7.5
ARG,-90,90,4,27,0.14814815,-177.91,174.99,-173.46,-89.48,5.96,9.23,11.06,4.83
ARG,-90,90,3,27,0.11111111,-65.24,165.4,59.02,-164.57,8.09,14.91,3.9,4.19
ARG,-90,90,4,27,0.14814815,-61.9,-178.83,-167.38,176.03,3.8,7.32,14.0,16.12
ARG,-90,90,2,27,0.07407407,-64.36,-169.39,164.82,-99.49,14.66,13.82,20.33,8.63
ARG,-90,90,2,27,0.07407407,-65.19,-169.78,-58.5,-175.5,15.5,22.03,6.34,16.37
ARG,-90,120,4,181,0.02209945,57.56,-158.64,76.2,-162.23,10.01,18.87,17.38,5.86
ARG,-90,120,2,181,0.01104972,92.1,172.97,160.48,62.62,21.73,0.47,13.41,0.05
ARG,-90,120,7,181,0.03867403,176.63,78.06,66.14,179.14,6.83,7.73,8.47,15.73
ARG,-90,120,5,181,0.02762431,178.13,71.41,165.28,86.9,6.3,8.99,8.28,13.49
ARG,-90,120,4,181,0.02209945,179.21,67.65,-178.58,-173.38,7.76,3.55,12.26,4.11
ARG,-90,120,10,181,0.05524862,-177.79,179.07,65.98,86.07,6.28,7.59,9.09,10.0
ARG,-90,120,12,181,0.06629834,-174.69,160.61,64.69,-172.29,6.72,13.86,7.42,13.18
ARG,-90,120,4,181,0.02209945,-175.31,165.36,75.74,-105.9,9.86,7.5,20.72,9.67
ARG,-90,120,6,181,0.03314917,-166.22,155.45,172.02,82.8,11.88,7.96,19.78,14.95
