AA,PHI,PSI,_Count,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ARG,-180,-180,3,10,0.3,57.5,-172.42,-163.67,-86.1,3.26,12.65,9.23,10.07
ARG,-180,150,3,10,0.3,68.55,173.67,173.14,85.62,5.18,7.3,3.67,3.68
ARG,-180,150,3,10,0.3,52.57,-174.64,-52.84,179.63,12.35,15.53,4.33,7.38
ARG,-180,150,2,10,0.2,-161.77,162.88,-89.58,112.18,10.7,10.95,27.94,5.73
ARG,-150,-180,3,43,0.06976744,60.47,177.36,59.86,-170.88,7.66,2.72,8.91,20.09
ARG,-150,-180,2,43,0.04651163,63.31,-155.92,88.0,-92.63,3.02,0.71,4.59,6.34
ARG,-150,-180,8,43,0.18604651,60.49,-174.51,173.2,90.87,4.67,11.15,10.42,8.04
ARG,-150,-180,4,43,0.09302326,53.71,173.99,175.97,-174.28,12.17,13.12,16.75,12.95
ARG,-150,-180,3,43,0.06976744,62.4,-174.43,-166.13,-91.76,3.88,8.73,6.74,9.01
ARG,-150,-180,4,43,0.09302326,53.83,159.81,-63.97,165.8,3.14,7.79,10.59,7.2
ARG,-150,-180,3,43,0.06976744,-49.61,-168.04,64.02,174.33,2.59,4.73,4.89,7.64
ARG,-150,-180,2,43,0.04651163,-54.31,178.39,-173.51,179.02,2.07,3.94,11.03,1.97
ARG,-150,-180,2,43,0.04651163,-63.31,-70.79,-167.49,-81.04,4.9,7.38,5.28,2.26
ARG,-150,0,2,6,0.33333333,-66.3,-161.79,94.47,95.96,13.85,15.91,12.01,7.08
ARG,-150,30,2,10,0.2,-70.25,179.51,74.48,178.3,0.65,1.67,0.21,0.43
ARG,-150,30,2,10,0.2,-53.26,174.56,178.11,-163.17,10.59,8.47,8.55,8.93
ARG,-150,60,2,11,0.18181818,-171.5,-175.98,-162.18,175.07,1.1,0.89,0.53,0.88
ARG,-150,60,4,11,0.36363636,-62.81,173.71,67.43,88.13,0.5,0.16,5.17,6.87
ARG,-150,120,2,51,0.03921569,176.18,94.91,63.55,-172.25,25.08,18.53,4.76,15.65
ARG,-150,120,4,51,0.07843137,167.65,-179.53,66.34,-165.8,23.89,14.56,16.4,19.09
ARG,-150,120,2,51,0.03921569,177.9,-169.85,63.01,-113.5,1.08,10.27,2.58,6.25
ARG,-150,120,6,51,0.11764706,178.62,166.19,173.8,82.91,8.47,8.19,14.32,11.42
ARG,-150,120,5,51,0.09803922,-177.12,-171.59,177.5,179.02,6.74,10.05,9.0,7.07
ARG,-150,120,3,51,0.05882353,-167.74,178.82,-171.83,-75.53,19.86,7.82,5.96,13.83
ARG,-150,120,5,51,0.09803922,-171.75,171.0,-72.28,162.23,10.29,15.85,16.34,20.16
ARG,-150,120,3,51,0.05882353,-178.17,-168.46,-63.01,-85.19,7.05,7.27,11.13,8.89
ARG,-150,120,2,51,0.03921569,-70.6,169.23,53.76,-177.09,2.16,11.14,4.58,1.75
ARG,-150,120,2,51,0.03921569,-63.96,-171.43,173.94,105.97,7.48,4.97,6.07,4.59
ARG,-150,120,3,51,0.05882353,-60.58,-173.43,-174.1,173.95,7.9,5.61,15.39,7.01
ARG,-150,120,2,51,0.03921569,-70.71,-176.63,-173.07,-76.04,0.0,0.0,0.0,0.0
ARG,-150,150,2,178,0.01123596,55.15,97.93,170.13,176.25,3.79,1.99,6.96,6.19
ARG,-150,150,5,178,0.02808989,58.85,-174.52,57.64,90.68,7.82,10.72,9.12,5.87
ARG,-150,150,5,178,0.02808989,61.08,-166.16,67.3,-110.25,7.54,10.0,9.19,6.54
ARG,-150,150,15,178,0.08426966,66.01,-178.6,177.03,83.3,5.42,12.47,6.84,3.14
