AA,PHI,PSI,_Count,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
LYS,-120,0,12,44,0.27272727,-65.86,-177.83,177.67,-179.93,8.94,8.18,7.26,6.57
LYS,-120,0,2,44,0.04545455,-73.28,-168.02,-66.99,-168.73,10.74,0.05,1.88,8.47
LYS,-120,0,10,44,0.22727273,-60.81,-64.33,-179.06,178.12,4.43,8.67,8.38,3.16
LYS,-120,0,4,44,0.09090909,-70.07,-64.21,-179.96,-68.94,5.24,5.9,3.01,2.58
LYS,-120,0,2,44,0.04545455,-64.69,-53.77,-70.68,176.16,1.63,4.64,10.08,0.64
LYS,-120,30,2,35,0.05714286,-43.88,-154.4,78.04,64.82,5.89,23.69,9.87,0.42
LYS,-120,30,8,35,0.22857143,-65.76,177.98,178.44,-176.77,8.46,8.01,4.41,5.54
LYS,-120,30,2,35,0.05714286,-47.29,-143.87,163.83,-42.75,11.19,13.18,14.24,15.05
LYS,-120,30,2,35,0.05714286,-64.85,-99.68,75.67,-177.41,1.92,1.98,2.31,0.69
LYS,-120,30,6,35,0.17142857,-72.45,-80.55,175.46,75.66,3.29,11.02,21.2,12.47
LYS,-120,30,3,35,0.08571429,-70.11,-77.4,-173.69,179.16,4.58,5.89,10.75,17.84
LYS,-120,30,3,35,0.08571429,-54.66,-59.64,-71.64,178.57,5.11,2.46,10.59,10.89
LYS,-120,90,5,29,0.17241379,-179.47,-175.53,-179.67,179.95,5.09,1.98,5.63,8.05
LYS,-120,90,2,29,0.06896552,-167.81,-158.07,-71.23,60.5,0.0,0.0,0.0,0.0
LYS,-120,90,7,29,0.24137931,-60.06,-177.55,179.51,-172.54,3.5,6.0,5.51,2.61
LYS,-120,90,3,29,0.10344828,-49.11,-88.95,174.16,-163.56,3.33,15.99,10.65,12.25
LYS,-120,90,3,29,0.10344828,-60.82,-68.04,-179.69,-75.08,3.27,16.61,20.1,13.59
LYS,-120,120,2,124,0.01612903,-151.14,70.21,166.02,63.72,27.35,0.44,0.24,11.1
LYS,-120,120,6,124,0.0483871,-179.53,75.93,172.7,-177.23,8.99,5.16,3.66,5.66
LYS,-120,120,10,124,0.08064516,178.96,170.07,84.95,169.14,7.04,10.17,10.58,6.9
LYS,-120,120,9,124,0.07258065,-175.29,178.71,169.57,55.23,10.34,7.36,11.48,5.4
LYS,-120,120,29,124,0.23387097,-174.3,174.17,178.71,179.93,9.48,9.08,9.2,8.42
LYS,-120,120,2,124,0.01612903,-179.07,141.94,159.36,-65.83,8.66,14.36,29.07,8.3
LYS,-120,120,6,124,0.0483871,-169.58,-174.75,-55.65,-179.83,4.13,12.13,4.73,1.98
LYS,-120,120,2,124,0.01612903,174.31,-165.82,-59.0,-64.18,5.17,6.64,1.3,1.49
LYS,-120,120,2,124,0.01612903,-78.43,178.9,64.47,67.11,18.12,11.12,3.63,7.65
LYS,-120,120,2,124,0.01612903,-57.74,179.71,61.55,174.26,2.37,16.68,1.91,6.51
LYS,-120,120,21,124,0.16935484,-65.41,-177.46,178.35,-179.33,7.39,8.82,7.54,9.28
LYS,-120,120,2,124,0.01612903,-64.97,-177.03,151.59,-63.99,10.24,33.5,22.07,3.92
LYS,-120,120,4,124,0.03225806,-79.26,-177.29,-79.0,-169.82,10.08,6.46,9.13,17.25
LYS,-120,120,3,124,0.02419355,-64.13,155.55,-77.28,-85.88,1.1,18.1,7.21,13.61
LYS,-120,120,4,124,0.03225806,-55.83,-76.17,176.74,60.43,9.12,11.2,12.7,16.11
LYS,-120,120,4,124,0.03225806,-58.45,-63.41,174.31,-171.2,6.82,11.2,6.06,12.9
LYS,-120,120,2,124,0.01612903,-57.95,-69.62,-168.47,-41.84,4.17,5.48,5.04,21.95
LYS,-120,150,2,154,0.01298701,75.68,91.11,-168.31,173.96,9.43,10.05,11.43,7.42
LYS,-120,150,5,154,0.03246753,61.23,166.27,61.6,-177.75,3.53,12.88,6.32,6.56
LYS,-120,150,3,154,0.01948052,55.94,-172.05,177.95,69.81,3.97,8.72,6.91,5.96
LYS,-120,150,4,154,0.02597403,63.18,-179.29,-178.96,-168.18,10.48,7.38,6.62,13.82
LYS,-120,150,3,154,0.01948052,178.54,178.86,59.5,141.88,4.41,6.92,6.98,9.34
LYS,-120,150,4,154,0.02597403,-175.47,176.58,176.31,64.09,14.94,8.84,20.8,6.28
LYS,-120,150,12,154,0.07792208,-179.44,175.97,-176.35,177.74,9.6,14.13,10.5,9.91
LYS,-120,150,2,154,0.01298701,-170.01,162.85,-172.08,-47.65,5.95,8.45,3.66,11.12
LYS,-120,150,4,154,0.02597403,-175.25,-164.37,-69.83,-172.21,11.91,8.72,10.49,8.93
LYS,-120,150,5,154,0.03246753,-106.77,63.69,178.6,177.69,14.68,9.28,9.29,4.54
LYS,-120,150,10,154,0.06493506,-66.99,-178.65,63.81,173.47,5.57,13.4,13.52,7.22
LYS,-120,150,3,154,0.01948052,-86.89,-167.18,75.67,-70.53,11.75,5.85,25.31,10.66
LYS,-120,150,6,154,0.03896104,-64.76,-178.46,-178.12,64.61,11.63,5.49,4.25,3.77
LYS,-120,150,33,154,0.21428571,-64.67,179.6,178.33,179.76,7.96,8.71,10.22,12.02
LYS,-120,150,13,154,0.08441558,-64.59,-179.41,-176.61,-60.45,5.97,8.19,8.69,7.41
LYS,-120,150,2,154,0.01298701,-79.08,-170.07,-74.09,73.96,19.21,5.88,3.2,17.75
LYS,-120,150,9,154,0.05844156,-68.86,179.52,-66.31,-168.75,7.93,9.47,6.28,8.8
LYS,-120,150,3,154,0.01948052,-36.0,-75.87,-148.53,45.81,17.52,2.82,10.52,29.59
LYS,-120,150,19,154,0.12337662,-60.47,-65.87,-175.81,-175.63,6.51,5.73,8.88,8.95
LYS,-120,150,3,154,0.01948052,-61.85,-67.94,172.17,-101.8,4.33,9.0,14.95,18.24
LYS,-120,150,2,154,0.01298701,-62.47,-67.37,-68.76,-61.69,5.1,4.58,5.74,4.91
LYS,-90,-180,2,22,0.09090909,60.91,-177.38,-167.23,168.29,9.01,0.54,6.14,8.75
LYS,-90,-180,2,22,0.09090909,-76.37,-170.3,83.09,59.61,8.54,1.11,25.39,3.58
LYS,-90,-180,3,22,0.13636364,-66.27,-179.92,-172.51,176.31,2.48,2.06,3.29,7.45
LYS,-90,-180,2,22,0.09090909,-47.6,176.87,178.88,-58.99,5.09,11.61,4.31,5.82
