AA,PHI,PSI,_Count,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
PHE,-120,120,8,20,0.4,-63.98,86.63,0.0,0.0,1.87,4.68,0.0,0.0
PHE,-120,120,7,20,0.35,-68.43,-76.18,0.0,0.0,10.13,8.4,0.0,0.0
PHE,-120,150,2,22,0.09090909,55.85,97.08,0.0,0.0,4.0,5.35,0.0,0.0
PHE,-120,150,7,22,0.31818182,-67.7,86.08,0.0,0.0,7.59,3.24,0.0,0.0
PHE,-120,150,12,22,0.54545455,-62.79,-74.74,0.0,0.0,5.19,11.93,0.0,0.0
PHE,-90,-90,2,2,1.0,-78.84,-4.75,0.0,0.0,0.0,0.0,0.0,0.0
PHE,-90,-30,3,4,0.75,-72.64,-71.54,0.0,0.0,9.36,5.14,0.0,0.0
PHE,-90,0,2,16,0.125,37.85,-74.94,0.0,0.0,0.0,0.0,0.0,0.0
PHE,-90,0,4,16,0.25,-63.39,88.09,0.0,0.0,4.31,20.54,0.0,0.0
PHE,-90,0,8,16,0.5,-67.09,-74.4,0.0,0.0,11.15,18.48,0.0,0.0
PHE,-90,90,2,4,0.5,-77.39,94.89,0.0,0.0,0.0,0.0,0.0,0.0
PHE,-90,120,11,18,0.61111111,179.5,77.48,0.0,0.0,5.66,7.48,0.0,0.0
PHE,-90,120,4,18,0.22222222,-71.53,78.94,0.0,0.0,3.23,12.91,0.0,0.0
PHE,-90,120,2,18,0.11111111,-63.06,-90.3,0.0,0.0,0.5,7.6,0.0,0.0
PHE,-90,150,2,13,0.15384615,168.66,-91.06,0.0,0.0,2.32,2.2,0.0,0.0
PHE,-90,150,5,13,0.38461538,-79.55,68.34,0.0,0.0,3.96,18.17,0.0,0.0
PHE,-90,150,4,13,0.30769231,-64.44,-61.56,0.0,0.0,9.03,24.62,0.0,0.0
PHE,-60,-60,13,18,0.72222222,-179.6,71.97,0.0,0.0,7.5,5.16,0.0,0.0
PHE,-60,-60,2,18,0.11111111,-169.36,-84.56,0.0,0.0,1.67,0.38,0.0,0.0
PHE,-60,-60,2,18,0.11111111,-67.92,-64.09,0.0,0.0,10.74,6.25,0.0,0.0
