AA,PHI,PSI,_Count,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ARG,-60,-60,9,414,0.02173913,-76.24,-68.89,171.81,-170.49,15.01,10.83,10.64,4.98
ARG,-60,-60,4,414,0.00966184,-69.08,-70.19,170.38,-90.93,2.46,6.03,18.27,5.98
ARG,-60,-60,2,414,0.00483092,-58.73,-75.82,-86.6,93.33,16.47,3.16,18.97,9.03
ARG,-60,-60,4,414,0.00966184,-57.12,-86.12,-54.89,166.27,16.91,23.44,20.23,10.84
ARG,-60,-60,8,414,0.01932367,-61.53,-59.92,-65.88,-75.26,11.31,10.18,12.65,5.01
ARG,-60,-30,2,1011,0.00197824,81.88,108.56,81.57,173.97,0.0,0.01,0.01,0.0
ARG,-60,-30,2,1011,0.00197824,74.82,97.88,160.23,168.13,23.83,1.27,27.3,14.18
ARG,-60,-30,3,1011,0.00296736,66.76,168.24,70.69,74.96,10.83,21.81,14.92,3.15
ARG,-60,-30,7,1011,0.00692384,66.72,179.11,60.72,-176.89,9.1,9.42,10.1,9.73
ARG,-60,-30,2,1011,0.00197824,75.06,156.0,66.85,-114.18,0.6,4.56,13.3,2.94
ARG,-60,-30,13,1011,0.01285856,75.32,-177.46,-175.74,89.59,9.21,3.89,6.47,7.14
ARG,-60,-30,14,1011,0.01384768,59.45,-177.23,175.57,-179.69,7.02,3.85,13.11,17.42
ARG,-60,-30,7,1011,0.00692384,64.51,175.66,-175.95,-81.3,2.6,10.82,10.17,5.92
ARG,-60,-30,2,1011,0.00197824,74.2,-179.97,-55.53,103.37,2.52,7.19,4.99,7.81
ARG,-60,-30,10,1011,0.0098912,56.49,177.48,-56.34,169.78,12.67,8.94,7.93,14.18
ARG,-60,-30,6,1011,0.00593472,67.17,-169.82,-57.64,-79.85,4.04,11.52,6.22,4.83
ARG,-60,-30,10,1011,0.0098912,-174.26,65.29,68.33,83.78,8.41,8.51,21.51,6.24
ARG,-60,-30,12,1011,0.01186944,-174.04,79.18,63.18,-176.29,19.95,21.68,10.2,15.58
ARG,-60,-30,15,1011,0.0148368,-176.85,68.13,178.73,98.13,8.83,8.92,11.56,13.87
ARG,-60,-30,34,1011,0.03363007,-178.5,60.58,175.96,177.55,4.59,6.28,8.4,11.73
ARG,-60,-30,9,1011,0.00890208,178.4,68.84,-172.59,-89.25,9.09,6.22,6.79,16.55
ARG,-60,-30,4,1011,0.00395648,-179.66,77.52,-83.59,171.72,3.05,12.5,7.32,7.4
ARG,-60,-30,3,1011,0.00296736,176.1,81.86,-89.75,-103.82,1.21,6.44,4.94,17.57
ARG,-60,-30,46,1011,0.04549951,-178.0,179.64,66.97,82.85,8.93,14.04,11.11,10.65
ARG,-60,-30,45,1011,0.04451039,-175.52,-173.39,63.73,-162.72,10.82,15.69,9.73,17.51
ARG,-60,-30,21,1011,0.02077151,-169.62,169.95,65.56,-103.62,9.81,22.25,14.88,9.47
ARG,-60,-30,27,1011,0.02670623,-178.77,178.85,176.54,87.07,7.86,13.28,13.36,9.09
ARG,-60,-30,47,1011,0.04648863,-176.7,175.12,177.76,179.17,7.99,8.78,10.73,13.28
ARG,-60,-30,34,1011,0.03363007,-178.82,179.75,174.81,-86.37,8.03,9.97,14.06,6.98
ARG,-60,-30,18,1011,0.01780415,-175.55,177.93,-65.43,105.41,11.77,10.43,10.06,5.65
ARG,-60,-30,34,1011,0.03363007,-174.47,-177.62,-63.86,170.39,12.31,15.47,10.39,18.37
ARG,-60,-30,27,1011,0.02670623,-177.35,175.53,-62.53,-84.46,9.42,9.3,14.16,9.05
ARG,-60,-30,6,1011,0.00593472,-159.55,-92.98,178.68,179.36,18.41,18.3,6.04,6.45
ARG,-60,-30,2,1011,0.00197824,-164.44,-93.41,167.52,-81.88,9.09,15.32,2.8,16.78
ARG,-60,-30,6,1011,0.00593472,-157.99,-100.47,-57.82,174.92,15.53,10.39,15.34,8.77
ARG,-60,-30,4,1011,0.00395648,-166.52,-93.24,-63.45,-84.88,10.28,10.78,16.98,9.54
ARG,-60,-30,3,1011,0.00296736,-54.29,112.78,90.43,174.13,26.75,2.33,15.38,12.29
ARG,-60,-30,2,1011,0.00197824,-94.09,58.14,-176.86,89.42,4.37,0.4,13.0,18.23
ARG,-60,-30,2,1011,0.00197824,-85.95,79.82,169.12,153.96,12.76,24.97,12.91,24.05
ARG,-60,-30,2,1011,0.00197824,-110.19,95.26,-147.05,-72.23,0.0,0.04,0.01,0.01
ARG,-60,-30,38,1011,0.03758655,-70.35,175.15,64.64,83.11,7.37,8.02,10.24,8.4
ARG,-60,-30,59,1011,0.05835806,-69.46,177.88,63.41,-170.34,9.07,14.11,9.62,14.59
ARG,-60,-30,7,1011,0.00692384,-69.37,-179.69,76.01,-108.15,7.27,7.14,12.06,8.73
ARG,-60,-30,64,1011,0.06330366,-68.96,-168.45,-173.95,91.42,7.72,12.05,11.58,11.17
ARG,-60,-30,95,1011,0.09396637,-69.88,-178.18,-179.06,178.31,7.46,9.56,9.35,14.55
ARG,-60,-30,53,1011,0.05242334,-68.35,178.59,177.8,-85.32,6.32,9.64,9.28,10.99
ARG,-60,-30,11,1011,0.01088032,-75.53,-175.28,-89.63,107.46,9.67,4.6,14.25,8.13
ARG,-60,-30,57,1011,0.05637982,-76.4,178.45,-70.14,168.97,11.28,10.4,11.47,19.83
ARG,-60,-30,56,1011,0.0553907,-71.92,-167.84,-66.47,-89.28,5.91,5.17,9.46,8.66
ARG,-60,-30,6,1011,0.00593472,-64.59,-87.04,69.68,80.62,6.26,23.11,25.45,3.62
ARG,-60,-30,7,1011,0.00692384,-64.22,-56.13,87.87,-145.3,2.37,12.98,9.38,6.54
ARG,-60,-30,7,1011,0.00692384,-73.81,-69.59,175.46,87.07,7.04,13.97,9.65,16.02
ARG,-60,-30,23,1011,0.02274975,-71.63,-70.39,177.59,-176.19,6.99,14.84,18.31,17.67
ARG,-60,-30,14,1011,0.01384768,-65.25,-62.1,-171.65,-90.7,8.05,10.91,10.24,11.4
ARG,-60,-30,2,1011,0.00197824,-76.79,-87.91,-66.96,109.63,9.6,3.3,15.86,4.71
ARG,-60,-30,15,1011,0.0148368,-69.9,-63.07,-62.51,169.69,9.78,10.8,7.58,8.23
ARG,-60,-30,13,1011,0.01285856,-64.28,-70.41,-63.56,-83.32,6.37,8.96,9.86,5.89
ARG,-60,0,4,60,0.06666667,74.06,174.64,58.29,-169.74,1.69,16.89,7.05,3.34
ARG,-60,0,3,60,0.05,59.58,-160.92,175.45,-173.1,2.13,3.02,1.39,2.24
ARG,-60,0,2,60,0.03333333,71.44,157.94,-74.24,-176.07,0.02,0.03,0.0,0.0
ARG,-60,0,2,60,0.03333333,-164.03,179.72,-161.67,164.72,11.28,21.28,20.77,15.94
ARG,-60,0,3,60,0.05,-62.84,-171.61,69.74,107.51,9.59,15.39,13.67,12.77
ARG,-60,0,4,60,0.06666667,-65.11,-168.53,60.0,-155.37,5.03,9.38,6.08,13.67
ARG,-60,0,2,60,0.03333333,-59.98,-168.02,-175.04,110.44,10.87,15.53,1.9,8.75
ARG,-60,0,8,60,0.13333333,-73.71,174.48,178.74,-176.59,6.14,5.61,8.41,9.99
ARG,-60,0,2,60,0.03333333,-64.45,-167.84,-68.79,105.81,0.2,4.11,24.32,3.21
ARG,-60,0,4,60,0.06666667,-63.98,178.26,-74.29,173.06,12.64,2.85,8.81,17.84
ARG,-60,0,5,60,0.08333333,-87.09,-168.0,-71.61,-90.15,12.07,3.07,12.43,4.22
ARG,-60,0,2,60,0.03333333,-80.27,-60.69,172.82,-175.37,21.8,12.9,10.25,0.87
ARG,-60,90,2,7,0.28571429,-58.74,-166.03,157.68,109.17,0.01,0.0,0.0,0.01
ARG,-60,90,2,7,0.28571429,-50.35,-158.72,-153.01,-118.28,0.0,0.0,0.0,0.02
ARG,-60,90,2,7,0.28571429,-82.77,172.48,-84.05,155.1,9.77,2.18,11.85,17.88
ARG,-60,120,4,86,0.04651163,177.48,72.53,64.26,-175.79,3.17,2.76,5.19,11.56
ARG,-60,120,2,86,0.02325581,-168.34,76.73,174.64,104.88,2.04,12.14,7.75,9.64
ARG,-60,120,3,86,0.03488372,177.42,81.42,-179.54,-72.03,8.37,18.91,25.42,8.33
ARG,-60,120,6,86,0.06976744,-166.81,170.74,70.54,92.03,13.29,6.83,9.71,6.59
ARG,-60,120,4,86,0.04651163,-168.0,166.44,67.59,-169.84,7.33,13.89,10.26,20.62
ARG,-60,120,2,86,0.02325581,-168.21,178.37,179.38,99.95,9.29,11.5,1.87,13.09
ARG,-60,120,10,86,0.11627907,179.09,-177.02,-177.6,-169.29,4.84,12.94,6.15,7.87
ARG,-60,120,14,86,0.1627907,-170.14,179.1,-177.85,-96.6,4.6,8.06,14.64,6.78
